Supplier,SupplierType,OnTimeDelivery,DefectRate,CostVariance,ComplianceScore,LeadTime,FulfillmentRate,ResponseTime
JMD Manufacturing Support Vendor-396,Engineering,90,1,14,100,5,100,4
Titan Fastening Systems Vendor-397,Fasteners,85,11,11,77,10,85,3
AutoTech Components Vendor-398,Auto Components,82,10,8,86,10,90,4
Doaba Fasteners Vendor-399,Fasteners,88,2,2,83,5,86,1
Apex Engineering Systems Vendor-400,Engineering,79,11,13,91,8,98,6
Shakti Engineering Supplies Vendor-401,Engineering,90,9,10,94,4,93,1
Industrial Bearings Co Vendor-402,Bearings,86,4,14,79,10,95,4
FastenPro Industries Vendor-403,Fasteners,92,7,13,82,2,92,1
Shakti Engineering Supplies Vendor-404,Engineering,84,10,11,76,6,90,1
North India Alloys Vendor-405,Steel,92,1,4,90,7,93,2
AutoTech Components Vendor-406,Auto Components,93,5,13,78,2,95,4
North Bearings Vendor-407,Bearings,72,5,13,93,12,87,4
Titan Tooling Solutions Vendor-408,Tools,81,1,9,93,4,96,2
Industrial Bearings Co Vendor-409,Bearings,98,10,12,98,3,92,6
Punjab Steel Works Vendor-410,Steel,97,1,5,76,9,96,4
Precision Casting Works Vendor-411,Castings,99,1,10,100,12,98,2
AutoTech Components Vendor-412,Auto Components,83,12,7,83,3,96,1
North India Alloys Vendor-413,Steel,77,9,2,87,3,99,3
Precision Bearings Ltd Vendor-414,Bearings,72,9,9,75,7,91,3
North Bearings Vendor-415,Bearings,77,8,7,93,9,91,6
RubberTech Solutions Vendor-416,Rubber,70,7,2,82,10,96,6
Reliable Alloy Works Vendor-417,Steel,70,11,8,98,6,88,2
Prime Rubber Components Vendor-418,Rubber,85,1,4,97,6,87,1
FlexiRubber Products Vendor-419,Rubber,83,12,7,89,3,88,5
FoundryTech Castings Vendor-420,Castings,72,10,11,76,8,89,2
Precision Bearings Ltd Vendor-421,Bearings,97,6,14,87,7,95,4
BearingTech Industries Vendor-422,Bearings,72,4,4,99,11,88,2
Titan Fastening Systems Vendor-423,Fasteners,84,8,7,88,3,96,2
ProTool Manufacturing Vendor-424,Tools,84,5,15,78,3,90,6
North Bearings Vendor-425,Bearings,71,4,15,85,4,87,6
Industrial Elastomers Vendor-426,Rubber,82,9,2,96,6,93,2
Steel Forge Solutions Vendor-427,Steel,97,8,10,98,10,92,1
Apex Industrial Tools Vendor-428,Tools,95,3,3,75,2,92,2
Prime Rubber Components Vendor-429,Rubber,81,11,12,95,3,93,1
Punjab Steel Works Vendor-430,Steel,76,11,9,100,4,87,3
Doaba Fasteners Vendor-431,Fasteners,84,1,4,93,8,97,4
Steel Forge Solutions Vendor-432,Steel,91,7,4,86,5,90,3
Motion Bearing Systems Vendor-433,Bearings,98,3,2,94,11,92,6
Motion Bearing Systems Vendor-434,Bearings,83,9,9,76,3,93,4
FoundryTech Castings Vendor-435,Castings,76,11,14,91,5,85,4
Precision Auto Systems Vendor-436,Auto Components,87,8,7,93,10,95,4
BearingTech Industries Vendor-437,Bearings,70,6,11,82,2,93,1
Titan Tooling Solutions Vendor-438,Tools,81,10,5,80,3,92,6
Industrial Elastomers Vendor-439,Rubber,87,12,2,99,5,97,3
Precision Casting Works Vendor-440,Castings,77,10,7,100,7,85,6
Metro Auto Industries Vendor-441,Auto Components,88,3,11,81,9,94,2
Apex Industrial Tools Vendor-442,Tools,72,1,5,94,5,85,5
Apex Industrial Tools Vendor-443,Tools,80,10,5,100,4,95,6
Elite Cast Products Vendor-444,Castings,71,1,4,93,4,88,5
Velocity Auto Parts Vendor-445,Auto Components,81,12,12,87,11,88,3
Precision Bearings Ltd Vendor-446,Bearings,74,3,13,88,12,100,6
AutoTech Components Vendor-447,Auto Components,92,9,13,94,7,92,6
FoundryTech Castings Vendor-448,Castings,79,12,13,84,4,90,6
Prime Metal Fabricators Vendor-449,Steel,82,10,2,80,11,95,5
FlexiRubber Products Vendor-450,Rubber,73,8,4,85,3,92,3
AutoTech Components Vendor-451,Auto Components,90,2,15,97,12,95,4
Reliable Alloy Works Vendor-452,Steel,76,4,13,77,7,93,1
Punjab Steel Works Vendor-453,Steel,82,8,13,88,4,98,4
JMD Manufacturing Support Vendor-454,Engineering,87,7,3,90,11,92,2
Apex Industrial Tools Vendor-455,Tools,95,1,6,75,7,93,1
FastenPro Industries Vendor-456,Fasteners,75,7,4,98,3,87,3
Apex Industrial Tools Vendor-457,Tools,83,11,4,94,8,90,1
FastenPro Industries Vendor-458,Fasteners,76,4,8,97,10,93,6
Precision Bearings Ltd Vendor-459,Bearings,77,2,2,87,11,100,2
Reliable Alloy Works Vendor-460,Steel,70,7,3,84,12,100,2
Doaba Fasteners Vendor-461,Fasteners,76,3,12,84,3,100,1
Motion Bearing Systems Vendor-462,Bearings,85,8,12,83,3,97,2
Precision Auto Systems Vendor-463,Auto Components,81,3,9,76,6,99,4
BearingTech Industries Vendor-464,Bearings,96,5,11,76,4,88,1
Metro Auto Industries Vendor-465,Auto Components,83,10,5,92,2,97,5
Apex Engineering Systems Vendor-466,Engineering,91,8,11,82,9,94,1
Shakti Engineering Supplies Vendor-467,Engineering,86,10,10,100,11,89,1
ToolCraft Industries Vendor-468,Tools,75,4,14,81,4,86,4
Industrial Bolt Works Vendor-469,Fasteners,76,11,4,94,6,95,6
Doaba Fasteners Vendor-470,Fasteners,82,9,8,92,7,93,5
Apex Industrial Tools Vendor-471,Tools,95,12,11,93,10,98,1
Northern Engineering Ltd Vendor-472,Engineering,74,10,11,93,3,88,5
FastenPro Industries Vendor-473,Fasteners,97,9,7,88,6,97,6
Titan Tooling Solutions Vendor-474,Tools,89,8,2,80,6,97,2
Shakti Engineering Supplies Vendor-475,Engineering,82,6,13,82,2,100,3
Velocity Auto Parts Vendor-476,Auto Components,80,5,6,83,9,88,2
Elite Cast Products Vendor-477,Castings,93,8,14,85,6,98,5
Titan Fastening Systems Vendor-478,Fasteners,84,4,15,88,9,96,1
Guru Nanak Castings Vendor-479,Castings,79,12,10,87,4,85,2
RubberTech Solutions Vendor-480,Rubber,96,1,5,76,9,86,3
Industrial Elastomers Vendor-481,Rubber,81,8,10,87,12,88,6
North India Alloys Vendor-482,Steel,81,8,11,89,4,100,5
DriveLine Products Vendor-483,Auto Components,75,5,13,97,3,94,1
Shakti Engineering Supplies Vendor-484,Engineering,75,10,14,81,5,92,6
Industrial Elastomers Vendor-485,Rubber,90,7,10,75,12,85,4
Precision Casting Works Vendor-486,Castings,89,1,5,83,11,94,6
Motion Bearing Systems Vendor-487,Bearings,98,7,15,86,9,93,2
ProTool Manufacturing Vendor-488,Tools,91,9,15,94,8,88,1
Metro Auto Industries Vendor-489,Auto Components,90,10,11,84,6,88,4
FastenPro Industries Vendor-490,Fasteners,78,11,7,83,6,94,2
Northern Cast Components Vendor-491,Castings,94,4,2,100,11,97,6
AutoTech Components Vendor-492,Auto Components,93,1,12,90,6,93,4
Industrial Engineering Works Vendor-493,Engineering,93,1,11,97,11,91,3
FlexiRubber Products Vendor-494,Rubber,90,8,12,86,10,94,2
Elite Cast Products Vendor-495,Castings,73,8,4,98,6,90,6
Velocity Auto Parts Vendor-496,Auto Components,77,6,5,98,6,98,3
DriveLine Products Vendor-497,Auto Components,88,5,9,78,9,86,6
Industrial Bolt Works Vendor-498,Fasteners,98,4,10,78,12,97,5
Motion Bearing Systems Vendor-499,Bearings,71,3,4,81,7,98,5
ToolCraft Industries Vendor-500,Tools,80,12,4,99,3,100,3
Elite Cast Products Vendor-501,Castings,90,1,2,89,6,91,2
FoundryTech Castings Vendor-502,Castings,95,2,4,94,8,98,4
Industrial Engineering Works Vendor-503,Engineering,82,1,2,92,5,96,1
Metro Auto Industries Vendor-504,Auto Components,76,1,12,75,12,92,2
DriveLine Products Vendor-505,Auto Components,74,2,8,91,11,94,2
Doaba Fasteners Vendor-506,Fasteners,79,5,9,98,10,95,4
Elite Cast Products Vendor-507,Castings,98,8,7,99,5,90,4
North India Alloys Vendor-508,Steel,77,12,4,81,2,90,1
Velocity Auto Parts Vendor-509,Auto Components,82,11,6,99,10,86,5
Punjab Steel Works Vendor-510,Steel,90,1,2,97,3,98,4
Shakti Engineering Supplies Vendor-511,Engineering,87,5,9,97,4,91,6
Reliable Alloy Works Vendor-512,Steel,83,11,3,96,10,93,5
FoundryTech Castings Vendor-513,Castings,96,2,10,98,11,88,3
Doaba Fasteners Vendor-514,Fasteners,85,4,11,81,6,91,3
JMD Manufacturing Support Vendor-515,Engineering,75,1,10,90,5,100,3
Punjab Rubber Industries Vendor-516,Rubber,70,11,3,78,11,100,2
Precision Fasteners Vendor-517,Fasteners,72,12,13,78,6,92,4
Precision Bearings Ltd Vendor-518,Bearings,84,1,3,80,2,94,3
Precision Auto Systems Vendor-519,Auto Components,93,2,3,99,2,85,2
Elite Cast Products Vendor-520,Castings,81,8,11,83,3,96,3
Guru Nanak Castings Vendor-521,Castings,82,7,9,83,8,100,4
Guru Nanak Castings Vendor-522,Castings,74,12,13,76,4,88,4
Titan Tooling Solutions Vendor-523,Tools,91,8,4,94,8,96,5
North India Alloys Vendor-524,Steel,85,8,3,88,9,86,1
Precision Bearings Ltd Vendor-525,Bearings,70,12,15,96,10,92,6
Metro Auto Industries Vendor-526,Auto Components,86,12,13,94,3,98,6
Prime Rubber Components Vendor-527,Rubber,81,11,12,95,8,89,5
Punjab Steel Works Vendor-528,Steel,90,3,10,90,9,90,1
ProTool Manufacturing Vendor-529,Tools,77,6,6,76,10,92,5
Industrial Engineering Works Vendor-530,Engineering,96,4,3,89,9,99,1
Industrial Tool Works Vendor-531,Tools,80,2,9,98,12,85,1
Industrial Engineering Works Vendor-532,Engineering,71,9,10,75,3,94,5
Prime Rubber Components Vendor-533,Rubber,80,6,15,76,5,99,3
ProTool Manufacturing Vendor-534,Tools,92,8,3,78,12,92,1
DriveLine Products Vendor-535,Auto Components,96,11,14,84,10,96,6
Doaba Fasteners Vendor-536,Fasteners,98,3,9,79,8,88,3
RubberTech Solutions Vendor-537,Rubber,73,7,5,89,5,95,1
Shakti Engineering Supplies Vendor-538,Engineering,99,11,15,96,11,88,4
Titan Tooling Solutions Vendor-539,Tools,86,3,9,75,10,86,5
Apex Engineering Systems Vendor-540,Engineering,85,9,14,80,11,90,6
Guru Nanak Castings Vendor-541,Castings,82,11,11,94,7,97,4
Industrial Elastomers Vendor-542,Rubber,82,6,6,89,4,89,4
North Bearings Vendor-543,Bearings,97,6,13,98,10,91,2
FlexiRubber Products Vendor-544,Rubber,92,5,12,86,12,89,6
Northern Cast Components Vendor-545,Castings,87,12,12,85,3,96,5
Titan Tooling Solutions Vendor-546,Tools,88,11,13,88,12,94,4
Prime Metal Fabricators Vendor-547,Steel,73,1,8,79,2,86,2
BearingTech Industries Vendor-548,Bearings,79,11,6,79,2,94,2
Reliable Alloy Works Vendor-549,Steel,96,8,3,94,12,92,6
Northern Engineering Ltd Vendor-550,Engineering,86,12,6,97,12,86,4
Industrial Engineering Works Vendor-551,Engineering,95,11,7,92,2,85,6
BearingTech Industries Vendor-552,Bearings,89,8,15,82,12,96,5
RubberTech Solutions Vendor-553,Rubber,79,8,4,96,3,90,2
Industrial Bolt Works Vendor-554,Fasteners,71,7,6,92,6,89,2
Industrial Bearings Co Vendor-555,Bearings,80,8,13,79,2,89,3
Prime Metal Fabricators Vendor-556,Steel,96,11,6,90,11,96,1
Metro Auto Industries Vendor-557,Auto Components,77,3,10,77,10,90,4
Shakti Engineering Supplies Vendor-558,Engineering,81,4,5,96,7,95,3
BearingTech Industries Vendor-559,Bearings,94,10,10,90,10,85,1
Precision Auto Systems Vendor-560,Auto Components,77,11,11,94,5,86,6
Precision Auto Systems Vendor-561,Auto Components,99,2,8,83,10,94,1
Metro Auto Industries Vendor-562,Auto Components,95,9,9,90,2,94,6
Industrial Elastomers Vendor-563,Rubber,86,2,3,80,10,85,6
Titan Fastening Systems Vendor-564,Fasteners,91,11,14,81,12,98,1
FlexiRubber Products Vendor-565,Rubber,96,12,13,99,8,87,6
Guru Nanak Castings Vendor-566,Castings,84,12,7,76,3,87,1
Elite Cast Products Vendor-567,Castings,87,2,11,82,6,98,4
Industrial Tool Works Vendor-568,Tools,83,6,2,87,12,88,5
Prime Metal Fabricators Vendor-569,Steel,72,12,11,76,3,96,5
FastenPro Industries Vendor-570,Fasteners,95,11,6,94,3,94,4
Industrial Engineering Works Vendor-571,Engineering,96,11,2,90,4,92,2
Apex Engineering Systems Vendor-572,Engineering,79,11,4,84,12,96,1
Guru Nanak Castings Vendor-573,Castings,71,1,11,94,8,87,3
Industrial Elastomers Vendor-574,Rubber,76,7,12,91,4,90,2
FlexiRubber Products Vendor-575,Rubber,96,5,5,78,4,86,5
Titan Tooling Solutions Vendor-576,Tools,72,5,12,77,6,88,2
ProTool Manufacturing Vendor-577,Tools,81,3,12,95,5,88,3
Titan Fastening Systems Vendor-578,Fasteners,80,8,9,85,11,94,6
Northern Cast Components Vendor-579,Castings,88,6,14,85,8,90,1
AutoTech Components Vendor-580,Auto Components,95,4,13,98,12,98,3
AutoTech Components Vendor-581,Auto Components,91,12,7,90,9,99,3
Motion Bearing Systems Vendor-582,Bearings,87,2,4,95,11,87,3
Northern Cast Components Vendor-583,Castings,76,5,13,95,3,87,1
Prime Metal Fabricators Vendor-584,Steel,88,7,14,93,5,86,5
North Bearings Vendor-585,Bearings,98,9,9,95,4,96,4
FlexiRubber Products Vendor-586,Rubber,93,5,4,89,10,87,4
Metro Auto Industries Vendor-587,Auto Components,70,11,5,100,11,90,5
FoundryTech Castings Vendor-588,Castings,75,3,11,93,12,89,6
ProTool Manufacturing Vendor-589,Tools,71,4,14,90,5,87,3
AutoTech Components Vendor-590,Auto Components,71,11,5,91,7,97,4
Apex Industrial Tools Vendor-591,Tools,71,11,7,78,10,93,6
North Bearings Vendor-592,Bearings,87,10,4,87,12,97,3
Precision Fasteners Vendor-593,Fasteners,78,7,5,91,8,96,3
Industrial Tool Works Vendor-594,Tools,98,10,2,91,4,99,2
Punjab Rubber Industries Vendor-595,Rubber,86,11,6,81,4,90,2
Metro Auto Industries Vendor-596,Auto Components,92,2,12,82,8,95,6
Industrial Bolt Works Vendor-597,Fasteners,91,8,9,81,11,90,6
Shakti Engineering Supplies Vendor-598,Engineering,77,1,4,93,11,90,2
Prime Metal Fabricators Vendor-599,Steel,74,1,4,83,4,97,5
Reliable Alloy Works Vendor-600,Steel,72,4,9,94,9,100,2
Prime Rubber Components Vendor-601,Rubber,89,3,14,93,4,93,2
Precision Auto Systems Vendor-602,Auto Components,89,10,3,82,8,97,2
Doaba Fasteners Vendor-603,Fasteners,76,9,15,91,12,98,2
Titan Fastening Systems Vendor-604,Fasteners,85,10,11,76,10,88,1
ToolCraft Industries Vendor-605,Tools,98,10,10,75,12,98,5
JMD Manufacturing Support Vendor-606,Engineering,97,1,13,91,8,92,4
JMD Manufacturing Support Vendor-607,Engineering,88,12,14,97,11,88,4
Elite Cast Products Vendor-608,Castings,85,4,15,77,6,98,3
Punjab Rubber Industries Vendor-609,Rubber,92,12,14,75,11,88,5
Steel Forge Solutions Vendor-610,Steel,90,4,13,100,7,98,3
Titan Fastening Systems Vendor-611,Fasteners,83,11,11,83,6,98,5
Metro Auto Industries Vendor-612,Auto Components,78,11,8,99,5,98,5
ToolCraft Industries Vendor-613,Tools,81,9,10,90,6,94,5
Precision Auto Systems Vendor-614,Auto Components,93,3,15,96,3,92,4
Guru Nanak Castings Vendor-615,Castings,76,9,8,100,7,86,2
Shakti Engineering Supplies Vendor-616,Engineering,95,2,15,79,9,98,1
FastenPro Industries Vendor-617,Fasteners,77,6,3,94,2,97,4
North Bearings Vendor-618,Bearings,71,3,12,90,9,85,2
BearingTech Industries Vendor-619,Bearings,71,10,10,91,5,90,6
Reliable Alloy Works Vendor-620,Steel,77,11,2,80,3,93,4
Precision Auto Systems Vendor-621,Auto Components,82,10,5,91,2,87,1
North Bearings Vendor-622,Bearings,99,10,7,86,6,92,5
Prime Rubber Components Vendor-623,Rubber,99,7,11,75,6,90,4
Precision Fasteners Vendor-624,Fasteners,72,9,6,85,3,93,5
Motion Bearing Systems Vendor-625,Bearings,82,10,9,99,5,95,4
Titan Tooling Solutions Vendor-626,Tools,97,1,9,78,6,87,4
RubberTech Solutions Vendor-627,Rubber,95,6,8,86,10,85,6
BearingTech Industries Vendor-628,Bearings,79,2,8,96,7,87,5
FoundryTech Castings Vendor-629,Castings,80,6,5,93,6,90,6
Prime Rubber Components Vendor-630,Rubber,93,4,5,98,5,93,2
RubberTech Solutions Vendor-631,Rubber,96,4,15,94,7,89,1
Doaba Fasteners Vendor-632,Fasteners,91,11,9,94,2,86,4
Metro Auto Industries Vendor-633,Auto Components,80,8,11,83,9,90,5
Motion Bearing Systems Vendor-634,Bearings,77,10,4,76,10,98,4
Prime Metal Fabricators Vendor-635,Steel,81,7,15,96,4,99,1
ProTool Manufacturing Vendor-636,Tools,92,1,2,96,5,97,5
FastenPro Industries Vendor-637,Fasteners,81,10,15,83,4,93,2
Motion Bearing Systems Vendor-638,Bearings,89,6,7,80,9,98,2
JMD Manufacturing Support Vendor-639,Engineering,81,7,6,89,4,89,5
Punjab Rubber Industries Vendor-640,Rubber,93,5,14,82,10,98,4
RubberTech Solutions Vendor-641,Rubber,95,12,4,90,2,90,4
ToolCraft Industries Vendor-642,Tools,98,11,10,92,7,100,3
North Bearings Vendor-643,Bearings,97,10,2,87,3,90,1
Industrial Elastomers Vendor-644,Rubber,85,11,3,89,7,93,3
Metro Auto Industries Vendor-645,Auto Components,87,5,7,75,8,88,3
FlexiRubber Products Vendor-646,Rubber,88,11,12,92,4,94,3
Metro Auto Industries Vendor-647,Auto Components,85,12,9,77,8,94,4
Precision Casting Works Vendor-648,Castings,90,6,8,95,11,97,1
Titan Fastening Systems Vendor-649,Fasteners,80,4,7,85,12,94,6
North Bearings Vendor-650,Bearings,90,7,6,89,7,99,4
Precision Casting Works Vendor-651,Castings,97,1,4,98,5,93,6
Titan Fastening Systems Vendor-652,Fasteners,75,7,3,78,3,100,5
Punjab Steel Works Vendor-653,Steel,94,7,10,99,3,88,3
Guru Nanak Castings Vendor-654,Castings,90,7,6,82,5,94,4
Precision Casting Works Vendor-655,Castings,86,3,2,76,12,96,3
Industrial Tool Works Vendor-656,Tools,97,9,6,92,9,89,6
Northern Cast Components Vendor-657,Castings,89,8,12,98,12,98,5
Precision Bearings Ltd Vendor-658,Bearings,85,9,5,100,3,99,3
Precision Auto Systems Vendor-659,Auto Components,78,3,6,75,2,89,3
Motion Bearing Systems Vendor-660,Bearings,87,1,13,90,9,94,1
JMD Manufacturing Support Vendor-661,Engineering,89,4,14,75,10,96,2
Apex Engineering Systems Vendor-662,Engineering,83,7,5,80,12,97,4
Industrial Elastomers Vendor-663,Rubber,72,7,12,82,10,93,3
Motion Bearing Systems Vendor-664,Bearings,76,2,4,79,6,88,6
Titan Tooling Solutions Vendor-665,Tools,84,5,13,94,9,91,3
North India Alloys Vendor-666,Steel,71,9,2,80,3,94,3
FoundryTech Castings Vendor-667,Castings,93,1,5,77,4,85,4
Industrial Elastomers Vendor-668,Rubber,83,5,14,100,9,96,4
Reliable Alloy Works Vendor-669,Steel,72,3,2,83,8,87,5
ToolCraft Industries Vendor-670,Tools,76,5,15,87,2,88,6
Prime Rubber Components Vendor-671,Rubber,94,8,5,98,2,91,4
Precision Fasteners Vendor-672,Fasteners,91,4,9,87,12,94,3
Guru Nanak Castings Vendor-673,Castings,93,9,10,78,6,100,6
BearingTech Industries Vendor-674,Bearings,81,1,15,96,5,88,2
JMD Manufacturing Support Vendor-675,Engineering,70,3,14,83,11,88,4
Punjab Rubber Industries Vendor-676,Rubber,71,10,14,97,9,89,3
Titan Fastening Systems Vendor-677,Fasteners,75,8,3,96,11,95,6
Punjab Steel Works Vendor-678,Steel,81,11,4,97,10,88,2
ToolCraft Industries Vendor-679,Tools,80,9,14,95,7,99,6
Punjab Rubber Industries Vendor-680,Rubber,92,7,7,98,4,93,1
Industrial Tool Works Vendor-681,Tools,87,5,10,97,9,91,5
Northern Cast Components Vendor-682,Castings,81,6,13,89,6,90,1
FoundryTech Castings Vendor-683,Castings,79,5,10,86,9,85,6
Northern Engineering Ltd Vendor-684,Engineering,98,1,11,86,11,92,3
Precision Fasteners Vendor-685,Fasteners,96,7,5,91,12,100,5
Northern Cast Components Vendor-686,Castings,79,6,8,95,7,88,1
Doaba Fasteners Vendor-687,Fasteners,96,3,4,76,5,88,4
Punjab Rubber Industries Vendor-688,Rubber,71,10,12,87,12,100,5
Industrial Bearings Co Vendor-689,Bearings,81,4,11,97,3,85,2
Apex Industrial Tools Vendor-690,Tools,84,11,2,86,10,98,3
Prime Metal Fabricators Vendor-691,Steel,78,9,2,98,3,94,1
FlexiRubber Products Vendor-692,Rubber,73,2,13,82,10,97,2
FlexiRubber Products Vendor-693,Rubber,91,4,11,95,4,98,6
Precision Fasteners Vendor-694,Fasteners,81,11,9,97,12,98,1
Precision Casting Works Vendor-695,Castings,87,7,10,85,12,90,5
ProTool Manufacturing Vendor-696,Tools,98,6,10,85,7,98,6
JMD Manufacturing Support Vendor-697,Engineering,89,4,11,92,5,97,5
Precision Bearings Ltd Vendor-698,Bearings,84,8,8,75,2,94,5
Prime Metal Fabricators Vendor-699,Steel,74,5,2,84,5,91,3
Reliable Alloy Works Vendor-700,Steel,99,9,10,92,11,89,1
Steel Forge Solutions Vendor-701,Steel,81,3,4,83,7,92,2
Precision Bearings Ltd Vendor-702,Bearings,72,10,8,93,5,87,6
Precision Auto Systems Vendor-703,Auto Components,75,8,15,97,11,88,5
Industrial Bearings Co Vendor-704,Bearings,93,10,8,77,2,95,3
Industrial Engineering Works Vendor-705,Engineering,99,2,15,99,5,85,6
Shakti Engineering Supplies Vendor-706,Engineering,79,9,2,85,10,89,3
RubberTech Solutions Vendor-707,Rubber,71,11,13,87,9,87,2
JMD Manufacturing Support Vendor-708,Engineering,95,7,4,79,7,87,4
Prime Metal Fabricators Vendor-709,Steel,82,5,3,87,10,98,6
Precision Casting Works Vendor-710,Castings,85,9,5,90,8,91,5
RubberTech Solutions Vendor-711,Rubber,72,5,14,88,7,87,1
Industrial Engineering Works Vendor-712,Engineering,81,6,5,85,7,85,3
Elite Cast Products Vendor-713,Castings,89,8,11,79,9,86,2
Industrial Elastomers Vendor-714,Rubber,74,12,15,77,3,86,2
Elite Cast Products Vendor-715,Castings,70,6,13,100,3,94,4
Apex Industrial Tools Vendor-716,Tools,80,4,13,92,5,91,5
North Bearings Vendor-717,Bearings,85,10,13,79,12,85,4
Reliable Alloy Works Vendor-718,Steel,75,1,6,81,11,93,1
Apex Industrial Tools Vendor-719,Tools,72,7,12,83,12,96,1
Reliable Alloy Works Vendor-720,Steel,97,11,8,82,8,88,3
Titan Tooling Solutions Vendor-721,Tools,87,2,4,81,10,99,5
Punjab Steel Works Vendor-722,Steel,77,9,6,85,9,97,6
Guru Nanak Castings Vendor-723,Castings,81,11,7,86,12,94,2
Industrial Bearings Co Vendor-724,Bearings,90,5,8,75,10,93,2
Elite Cast Products Vendor-725,Castings,98,7,12,79,3,97,5
Prime Rubber Components Vendor-726,Rubber,77,10,4,88,6,95,4
Precision Casting Works Vendor-727,Castings,90,3,11,92,12,91,2
North Bearings Vendor-728,Bearings,99,3,8,99,4,90,3
Precision Fasteners Vendor-729,Fasteners,87,12,3,80,7,89,6
Reliable Alloy Works Vendor-730,Steel,98,7,8,84,9,93,2
Punjab Rubber Industries Vendor-731,Rubber,74,3,2,99,11,93,5
FlexiRubber Products Vendor-732,Rubber,77,4,12,75,7,87,6
ToolCraft Industries Vendor-733,Tools,86,10,9,97,12,96,2
Industrial Engineering Works Vendor-734,Engineering,85,3,4,81,5,86,4
Reliable Alloy Works Vendor-735,Steel,83,4,13,96,5,91,1
FoundryTech Castings Vendor-736,Castings,97,10,9,97,7,99,2
Industrial Engineering Works Vendor-737,Engineering,94,1,11,98,8,95,4
Prime Metal Fabricators Vendor-738,Steel,73,8,9,76,5,97,6
Prime Metal Fabricators Vendor-739,Steel,82,9,14,95,2,91,3
Industrial Tool Works Vendor-740,Tools,98,5,14,84,9,90,4
North Bearings Vendor-741,Bearings,99,1,13,91,4,99,6
Apex Industrial Tools Vendor-742,Tools,93,9,3,80,11,89,4
JMD Manufacturing Support Vendor-743,Engineering,84,1,4,89,11,91,4
FastenPro Industries Vendor-744,Fasteners,80,12,12,97,4,88,1
Industrial Bolt Works Vendor-745,Fasteners,90,6,3,91,8,90,4
Shakti Engineering Supplies Vendor-746,Engineering,94,3,7,93,12,89,2
Precision Casting Works Vendor-747,Castings,94,12,2,88,6,94,6
ProTool Manufacturing Vendor-748,Tools,90,3,3,79,5,85,5
Industrial Bearings Co Vendor-749,Bearings,84,8,15,90,10,85,5
ToolCraft Industries Vendor-750,Tools,76,10,12,90,9,98,4
Precision Fasteners Vendor-751,Fasteners,89,1,5,92,6,91,1
Precision Casting Works Vendor-752,Castings,71,11,7,76,4,86,6
Precision Bearings Ltd Vendor-753,Bearings,99,2,2,78,8,90,2
North Bearings Vendor-754,Bearings,91,12,13,94,11,90,4
Velocity Auto Parts Vendor-755,Auto Components,72,5,7,86,8,87,4
FastenPro Industries Vendor-756,Fasteners,85,3,3,97,6,95,5
Apex Engineering Systems Vendor-757,Engineering,76,12,5,94,2,88,5
Industrial Bolt Works Vendor-758,Fasteners,93,12,11,100,6,98,5
DriveLine Products Vendor-759,Auto Components,86,10,11,86,4,100,5
Industrial Tool Works Vendor-760,Tools,95,3,11,82,6,91,1
Doaba Fasteners Vendor-761,Fasteners,84,11,14,78,5,98,4
Reliable Alloy Works Vendor-762,Steel,81,9,14,95,5,85,6
Industrial Elastomers Vendor-763,Rubber,78,2,6,84,10,95,1
FastenPro Industries Vendor-764,Fasteners,80,7,13,93,11,85,2
Industrial Elastomers Vendor-765,Rubber,96,6,12,90,9,86,6
FoundryTech Castings Vendor-766,Castings,74,11,9,92,7,99,4
Prime Metal Fabricators Vendor-767,Steel,79,10,13,96,7,85,2
DriveLine Products Vendor-768,Auto Components,72,3,6,75,7,97,6
Northern Cast Components Vendor-769,Castings,89,7,4,94,3,94,6
Velocity Auto Parts Vendor-770,Auto Components,78,7,3,90,5,96,4
BearingTech Industries Vendor-771,Bearings,86,5,4,78,7,86,2
Industrial Bolt Works Vendor-772,Fasteners,86,1,14,90,10,89,2
Precision Auto Systems Vendor-773,Auto Components,93,9,6,99,7,89,1
Precision Casting Works Vendor-774,Castings,93,1,9,87,10,88,1
Industrial Bearings Co Vendor-775,Bearings,91,10,15,77,7,99,1
Precision Fasteners Vendor-776,Fasteners,94,11,13,84,2,94,6
Industrial Elastomers Vendor-777,Rubber,76,4,6,83,10,95,4
FastenPro Industries Vendor-778,Fasteners,74,3,6,78,2,88,2
Metro Auto Industries Vendor-779,Auto Components,80,5,4,97,6,92,2
FastenPro Industries Vendor-780,Fasteners,89,6,10,89,2,89,1
Apex Industrial Tools Vendor-781,Tools,73,7,2,77,8,97,2
Titan Tooling Solutions Vendor-782,Tools,81,5,7,81,12,87,4
Guru Nanak Castings Vendor-783,Castings,96,12,9,78,9,94,6
Industrial Tool Works Vendor-784,Tools,77,4,4,94,6,96,4
Elite Cast Products Vendor-785,Castings,95,6,9,90,2,87,4
FastenPro Industries Vendor-786,Fasteners,85,8,15,80,6,96,5
Northern Cast Components Vendor-787,Castings,73,7,15,97,3,95,5
FastenPro Industries Vendor-788,Fasteners,87,8,8,93,8,92,5
FlexiRubber Products Vendor-789,Rubber,75,8,8,77,7,91,6
Industrial Engineering Works Vendor-790,Engineering,88,6,10,97,5,90,6
Precision Fasteners Vendor-791,Fasteners,96,8,3,93,11,99,3
Industrial Bolt Works Vendor-792,Fasteners,75,5,8,77,11,88,6
